0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
256	tower	41.1530884	-8.4644625	1523925615						NA						NA	NA	
257	tower	41.1546375	-8.4619202	1523925619						NA						NA	NA	
258	tower	41.154988	-8.4624465	1523925621						NA						NA	NA	
259	tower	41.1561425	-8.4595962	1523925623						NA						NA	NA	
260	tower	41.1564916	-8.4570478	1523925629						NA						NA	NA	
261	tower	41.1571543	-8.4569933	1523925639						NA						NA	NA	
262	tower	41.1573929	-8.4567429	1523925644						NA						NA	NA	
263	tower	41.1578771	-8.4565556	1523925649						NA						NA	NA	
264	tower	41.158488	-8.4587809	1523925651						NA						NA	NA	
265	tower	41.1599023	-8.459876	1523925653						NA						NA	NA	
266	tower	41.162221	-8.4601353	1523925656						NA						NA	NA	
267	tower	41.1644262	-8.4597105	1523925659						NA						NA	NA	
268	tower	41.1674386	-8.4591552	1523925662						NA						NA	NA	
269	tower	41.1964002	-8.4537624	1523925664						NA						NA	NA	
270	tower	41.1976633	-8.4544396	1523925665						NA						NA	NA	
271	tower	41.1998045	-8.4586325	1523925676						NA						NA	NA	
272	tower	41.2020432	-8.4629047	1523925678						NA						NA	NA	
273	tower	41.2041707	-8.4670257	1523925686						NA						NA	NA	
274	tower	41.2061031	-8.4707071	1523925688						NA						NA	NA	
275	tower	41.2082088	-8.474756	1523925690						NA						NA	NA	
276	tower	41.2098036	-8.4778383	1523925693						NA						NA	NA	
277	tower	41.2113127	-8.4807013	1523925695						NA						NA	NA	
278	tower	41.2137462	-8.4852912	1523925697						NA						NA	NA	
279	tower	41.2159267	-8.4893081	1523925701						NA						NA	NA	
280	tower	41.217266	-8.4918119	1523925703						NA						NA	NA	
281	tower	41.2190536	-8.4950774	1523925704						NA						NA	NA	
282	tower	41.2205058	-8.4977264	1523925709						NA						NA	NA	
283	tower	41.2228662	-8.5021559	1523925711						NA						NA	NA	
284	tower	41.2264621	-8.5087479	1523925713						NA						NA	NA	
285	tower	41.2270464	-8.5099807	1523925714						NA						NA	NA	
286	tower	41.2294367	-8.5151595	1523925718						NA						NA	NA	
287	tower	41.2303863	-8.5171629	1523925719						NA						NA	NA	
288	tower	41.231365	-8.6028387	1523925722						NA						NA	NA	
289	tower	41.2316715	-8.5200518	1523925724				Bing		NA						NA	NA	
290	tower	41.2319113	-8.5223046	1523925728						NA						NA	NA	
291	tower	41.2323912	-8.5267195	1523925731						NA						NA	NA	
292	tower	41.2326383	-8.5984476	1523925733						NA						NA	NA	
293	tower	41.2328433	-8.5311821	1523925736						NA						NA	NA	
294	tower	41.2332552	-8.5351149	1523925738						NA						NA	NA	
295	tower	41.2338586	-8.5407403	1523925742						NA						NA	NA	
296	tower	41.234074	-8.5938259	1523925744						NA						NA	NA	
297	tower	41.2341775	-8.5438605	1523925746						NA						NA	NA	
298	tower	41.2347186	-8.5489089	1523925750						NA						NA	NA	
299	tower	41.2351291	-8.590321	1523925753						NA						NA	NA	
300	tower	41.2353804	-8.5550707	1523925754				Bing		NA						NA	NA	
301	tower	41.2357386	-8.5584595	1523925756						NA						NA	NA	
302	tower	41.2362466	-8.5631892	1523925758						NA						NA	NA	
303	tower	41.2364551	-8.586146	1523925762						NA						NA	NA	
304	tower	41.2367355	-8.567746	1523925764						NA						NA	NA	
305	tower	41.2371811	-8.5718363	1523925765						NA						NA	NA	
306	tower	41.2375955	-8.5761355	1523925768						NA						NA	NA	
307	tower	41.2380953	-8.5809571	1523925770						NA						NA	NA	
308	tower	41.1577089	-8.4525551	1556207202						NA						NA	NA	
309	tower	41.1576134	-8.4514511	1556207203						NA						NA	NA	
310	tower	41.1582512	-8.4575111	1556207205						NA						NA	NA	
311	tower	41.1599257	-8.4587223	1556207206						NA						NA	NA	
312	tower	41.1654681	-8.4589306	1556207217						NA						NA	NA	
